排名,排名变化,游戏名称,发行公司,昨日新增下载量,icon,类别,appid,公司名称,公司链接
1,1,Popular Wars,,-,https://android-artworks.25pp.com/fs08/2018/12/05/11/109_c533c93604551874169df1a23062fa3e_con_130x130.png,游戏,6829199,-,无
2,新进榜,Wind Rider!,,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL2hWVlNVWW5LbG5GSU1DZmJxdk5PbEMzeW16RkRDN1dfZTU5azRUZVdSa2FvaXU4UC1UNzNwVGc5b1UxeW1LYWNfTExjPXMxODA=,游戏,6833614,-,无
3,新进榜,Cosmic Showdown,海沙工作室,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjczMzI5MF8xNTM0NjczMTE3LzI1Ng==,游戏,6164799,-,无
4,0,Slope Run,,-,https://android-artworks.25pp.com/fs08/2018/12/04/7/109_c870e8f018c476abc9c1a66205251fdc_con_130x130.png,游戏,6783551,-,无
5,新进榜,命運之子,,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL1hwZWlfV1JmYTVlbWlIaUdEMDdWanNOWHFPRUE4WGVJejNDbHRwSEJiaGl6YWVSQWI5LWlMWk9YQmhvekY4UHdGcjg9czE4MA==,游戏,6836335,-,无
6,新进榜,Pocket Build,海沙工作室,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT0zJnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTExNzgzNDBjNzNjZmQ3OGEyOTZkN2Y2M2Y3ZGU5MTY2JnJlZj1odHRwJTNBJTJGJTJGZy5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZnLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGd2glMjUzRDUxMiUyNTJDNTEyJTJGc2lnbiUzRDM4OWExYTFkYjIwMTRhOTA4MTZiNGViODk4NDUxNTI3JTJGYzgzZDcwY2YzYmM3OWYzZGRlNTE0MTlmYjFhMWNkMTE3MzhiMjllOC5qcGc=,游戏,5253152,-,无
7,新进榜,可可冰雪女王,翼嘉游戏,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT0zJnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTJlYWFmMmVjY2QxYzNlM2E5NjM4YTEwZGY0M2I0YTQzJnJlZj1odHRwJTNBJTJGJTJGZy5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZnLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGcGljJTJGaXRlbSUyRjRiMzQzNDliMDMzYjViYjUwZjIzMzA1YzNmZDNkNTM5YjcwMGJjOTguanBn,游戏,65168,江苏观览四海仪器科技有限公司,https://www.qimai.cn/company/product/id/31101
8,34,Rolling Balls,,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL2RwZ0VRUERMcGJRcThUTXNoTzVBbmFYdXM4V0t5WE5FdmtKWlhkckIxT0tpZVJJSm9CWU5PYnVnWEV2UEZValZFNGlpPXMxODA=,游戏,6480857,-,无
9,新进榜,Endless Odyssey,,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0xIZGhMSFNzQ016SnozSzkxN2YwbGVhMXEtMnp6aHlNY0dkS2xPU1dKbFhmMWJBVzlKNnh6WWI5dWtXMUNpTHJYaTA9czE4MA==,游戏,6833615,-,无
10,新进榜,僵尸尖叫,北京伟恩无限信息技术有限公司,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMDE5MDE3M18xNTIzMzQ4OTQ3LzI1Ng==,游戏,64247,掌游天下（北京）信息技术股份有限公司,https://www.qimai.cn/company/product/id/30702
