排名,排名变化,游戏名称,发行公司,昨日新增下载量,icon,类别,appid,公司名称,公司链接
1,2,Flip Skater,,-,https://android-artworks.25pp.com/fs08/2018/12/04/0/109_a12af864cf18d04fade3a0065603cdf9_con_130x130.png,游戏,6812327,-,无
2,2,Slime Road,,-,,游戏,6796563,-,无
3,2,Star Trek: Fleet Command,,-,https://android-artworks.25pp.com/fs08/2018/11/29/3/109_0bb9585701419f5e480be5a97cafa71e_con_130x130.png,游戏,6739145,-,无
4,4,Command & Conquer: Rivals,,-,,游戏,6541457,-,无
5,25,Popular Wars,,-,https://android-artworks.25pp.com/fs08/2018/12/05/11/109_c533c93604551874169df1a23062fa3e_con_130x130.png,游戏,6829199,-,无
6,0,AC Rebellion,Ubisoft Entertainment,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU0NDE0NF8xNTA2MjYyODk3LzI1Ng==,游戏,4354664,-,无
7,0,托卡世界,Toca Boca,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ZpbGUubWFya2V0LnhpYW9taS5jb20vdGh1bWJuYWlsL1BORy9sMTE0L0FwcFN0b3JlLzA0ZGQ4NzVjZWU5Mzg0Mjg0MzgxZGJmNTEwZTU0NDcxMjQwMTlhN2M2,游戏,6688961,-,无
8,1,Pocket Build,海沙工作室,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT0zJnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTExNzgzNDBjNzNjZmQ3OGEyOTZkN2Y2M2Y3ZGU5MTY2JnJlZj1odHRwJTNBJTJGJTJGZy5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZnLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGd2glMjUzRDUxMiUyNTJDNTEyJTJGc2lnbiUzRDM4OWExYTFkYjIwMTRhOTA4MTZiNGViODk4NDUxNTI3JTJGYzgzZDcwY2YzYmM3OWYzZGRlNTE0MTlmYjFhMWNkMTE3MzhiMjllOC5qcGc=,游戏,5253152,-,无
9,3,Slope Run,,-,https://android-artworks.25pp.com/fs08/2018/12/04/7/109_c870e8f018c476abc9c1a66205251fdc_con_130x130.png,游戏,6783551,-,无
10,0,Link It Rich! Hot Vegas Casino Slots FREE,,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL1lmMEJsZnMyQVlHNUJLa2ItcmQtOHlBUGlTbVFQTFdwV21MMFlRRGtzRnBBemhnRXgyaE1KR29TcFBEQU1xbHBXQkNzPXMxODA=,游戏,6818154,-,无
